k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	1.5985039079552346	1.6184360951462708	2.2658036452835577	1.9857759435677775	1.8691505212009296	1.4115610162068992	1.254968782803156	2.27419701718103	2.102083241745049	2.204864878004253	1.9785199141341383	2.068873733143168	1.970924929498005	2.1449878066506813	1.9904378779101648
k__Bacteria|p__Actinomycetota|c__Actinomycetes	0.5983203963383089	0.4292330808821525	0.3763456704457592	0.6392984274205719	0.3993631944597969	0.3803399096719423	0.3895761207476919	0.5097862088213132	0.5140873933530418	0.5336019769087507	0.7938222734250276	0.4776690984772938	0.5954170272806956	0.4452450624178507	0.55762559476764
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB77407	0.5684852509307051	0.6118345918705193	0.5182613910646451	0.3578951518264954	0.5425447654500686	0.5939820803266068	0.5246481541064208	0.4543377030009277	0.4194581154863168	0.3525063741617444	0.4536822275185083	0.4821492746712364	0.3045870622183017	0.4366479073731348	0.5017498652210484
k__Archaea|p__Nitrososphaerota|c__Nitrososphaeria	0.5236586013346664	0.5542753605573333	0.2854806343076613	0.0161532537123483	0.3887905286339344	0.9022141546491566	0.5959769064026493	0.3055696293189544	0.264264090363043	0.0549473007572479	0.0081729799383262	0.3558663947246882	0.0200708422429272	0.2046996688021951	0.3165509311881848
k__Bacteria|p__Acidobacteriota|c__CFGB72794	0.270910077443314	0.4029428403030724	0.1900371711012875	0.2128895251287752	0.2890484582223236	0.2677397861134769	0.2499735919391026	0.348648435505189	0.311957428028693	0.2779226073098777	0.2459441534982762	0.2754626365240508	0.1169567856183244	0.3900486077359918	0.3327234920471808
k__Bacteria|p__Verrucomicrobiota|c__CFGB2153	0.2123402283416823	0.1727100116631825	0.1778654961004471	0.2844105647120666	0.1759257055594042	0.1354981159052553	0.0850151042800728	0.1420503476828966	0.2215894769683968	0.1722080741775157	0.2920221190808449	0.1514236600257142	0.195692766529583	0.1269606406902135	0.2886813071700227
k__Bacteria|p__Pseudomonadota|c__CFGB80813	0.1761493448545066	0.1401191805149063	0.1007597242999294	0.3585559877713837	0.1261603288450887	0.0996776566536919	0.1113269005370951	0.1352300305684068	0.1274519278127288	0.0993552001274693	0.4017415204237455	0.1251287361963522	0.4017172819620497	0.08992926531927	0.1823995687492748
k__Bacteria|p__Pseudomonadota|c__CFGB52626	0.1603133156300716	0.095394182093575	0.0744332983998386	0.1520403617527515	0.1132245483708495	0.1418070360274499	0.1951669559847982	0.094265796595982	0.1936034474387126	0.081405677517569	0.1964207853208635	0.0874426043201178	0.0374368373716295	0.071313505684179	0.0785769880518504
k__Bacteria|p__Acidobacteriota|c__CFGB3272	0.157920494694738	0.0171393178220278	0.0	0.2702791267807199	0.0040032071033751	0.0097715541701435	0.0023217513596806	0.0285581792342682	0.0430199827742195	0.0333934902124978	0.3298311184357883	0.0175005392204305	0.3546714797830493	0.0	0.0489794284164696
k__Bacteria|p__Pseudomonadota|c__CFGB5371	0.14053190429301	0.1340279723804618	0.1012036473846102	0.0442306885576168	0.1181307379369793	0.1474774373855202	0.0881411348019544	0.1277279307500297	0.1190485836219056	0.1036577938784933	0.0670115648967252	0.1356428903768567	0.0851903561318332	0.1052894776337341	0.1447999088859844
k__Bacteria|p__Actinomycetota|c__Thermoleophilia	0.0982293514095058	0.1724291660930919	0.2747013917790029	0.1044495374529668	0.1035403227637517	0.0989340483429722	0.0773952395295402	0.2601640964763565	0.2744913713052917	0.1116121763414368	0.0512617303957202	0.2601492474021322	0.1983985268264934	0.0893949143863867	0.2224065831349112
k__Archaea|p__Nitrososphaerota|c__CFGB52473	0.0876187616053498	0.0573325520686071	0.061413749117558	0.0887712162216543	0.1269783300695268	0.0472064903801628	0.0288206332300908	0.0713506267245676	0.0823732537157933	0.0765925613961696	0.0892131936116234	0.0674301332268433	0.0706990600968447	0.1304339217539546	0.076587545891236
k__Archaea|p__Nitrososphaerota|c__CFGB49577	0.0509477973878328	0.072400804503419	0.1572748009883349	0.0015094251393388	0.1819502845773908	0.0812825518414033	0.1003512112183378	0.0927498385604575	0.0517619338672539	0.1432428106124039	0.0	0.1132424863260486	0.0035162099302239	0.3277425283199078	0.1362673239557577
k__Bacteria|p__Pseudomonadota|c__CFGB14846	0.0413343347866757	0.0390006647269077	0.0521346280297172	0.0242044460150103	0.0602157968016369	0.0359481630043882	0.0269119820228	0.0666384076272837	0.0562348296083025	0.1015424555351556	0.0430932971763608	0.0752172651083309	0.0237190070711949	0.1129401089174442	0.0585963938133107
k__Bacteria|p__Actinomycetota|c__CFGB38726	0.0159170695056673	0.0101049783727895	0.0034215936060779	0.0165879533541922	0.0059923134141337	0.0092789192069892	0.0129965918940808	0.0107581226949403	0.0137341084886863	0.0101416378706297	0.0253267402180806	0.0093356875661514	0.0376957246629471	0.0077034008153382	0.0107202739561202
k__Bacteria|p__Verrucomicrobiota|c__CFGB81405	0.0147881926056941	0.0039063479457333	0.0149457240225905	0.0004383992132638	0.0133184232692263	0.0154752117138452	0.0075556131257326	0.0100972566262344	0.0052868081950083	0.0228647432053747	0.0003005886428052	0.0094549172924113	0.0	0.0279198362431496	0.0085968408237468
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB8491	0.0075021500111568	0.0120950218613407	0.0093830479964366	0.0198801094715185	0.0117796720770333	0.0080511008334753	0.0017192978894981	0.0129229944362099	0.0175549081983726	0.0205243310865758	0.0149612313557628	0.016797083835497	0.0137420296415983	0.0101968800350647	0.014643370214758
k__Bacteria|p__Verrucomicrobiota|c__CFGB94214	0.0065163968827167	0.0067289142020246	0.0177893711550744	0.0	0.0013583364776919	0.0121859532469884	0.021435853836179	0.007672420990568	0.0	0.0018263382884557	0.0	0.0111966251336162	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__CFGB33437	0.004611239394097	0.0016809768076897	0.0156718016102464	0.0	0.0018950361699482	0.0069629584396135	0.0023576566794217	0.0119130197660248	0.0069184973757062	0.00496316530504	0.0	0.0146891022752217	0.0	0.0044278866449061	0.0035719303289349
k__Bacteria|p__Acidobacteriota|c__CFGB81229	0.002487130970218	0.0	0.0	0.0	0.00050216186278	0.0032591061918843	0.0	0.0	0.0022490067570542	0.0021792646227586	0.0	0.0012314046128124	0.0	0.0009246553064572	0.0035559908824803
k__Bacteria|p__Acidobacteriota|c__CFGB82203	0.00095115698499	0.0	0.0031088723652805	0.0	0.003407883990034	0.0038111588733667	0.0	0.0019586934801963	0.0	0.0135972084193267	0.0	0.0020631511832015	0.0	0.0195014320443093	0.0010355659118471
k__Bacteria|p__Actinomycetota|c__CFGB81282	0.0006312611380202	0.0	0.0	0.0	0.0	0.0	0.0	0.0009631612485887	0.0002091537641332	0.0	0.0050892940968412	0.001370664933084	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__CFGB52786	0.0005303162263098	0.0	0.0	0.0224753588226121	0.0	0.0	0.0	0.0	0.0	0.0	0.0152613148075718	0.0	0.0727066922307487	0.0	0.0
k__Bacteria|p__Acidobacteriota|c__CFGB15833	0.0	0.0	0.0025403310417857	0.0007847715874564	0.0028680031819049	0.0030209919027629	0.001608936275136	0.0029587078479141	0.000259389310253	0.0024789190575441	0.0004208240999274	0.0035363536808691	0.0	0.0021754358264001	0.0017667880179517
k__Bacteria|p__Firmicutes|c__Bacilli	0.0	0.0	0.0	0.019271529972937	0.0042372463425893	0.0183503198156381	0.0012389225064354	0.0078960297809591	0.0024504319756306	0.0085314947077156	0.0366490808274123	0.0044744531670821	0.0093062447471528	0.0018184095358348	0.0
k__Bacteria|p__Myxococcota|c__CFGB11444	0.0	0.0	0.0	0.0023589392266443	0.0	0.0	0.0	0.0	0.0	0.0	0.0002586577901114	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__CFGB77274	0.0	0.0	0.0	0.0016208747283647	6.589454307973613e-05	0.0	0.0	0.0012051965985443	0.0002550420033772	0.0018920402978605	0.0023223630100436	0.0009209304056315	0.0016615358961284	0.0012840586029516	0.0008024515074486
k__Bacteria|p__Nitrospirota|c__Nitrospiria	0.0	0.0	0.0	0.0004555097310811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.497099928406368e-05	0.0	0.0
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB82396	0.0	0.0	0.0	0.0001267103211332	0.0	0.0	0.0	0.0	0.0	0.0	0.000582485218747	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	0.0	0.0	0.0	0.0	0.0	0.000322363292721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Thermomicrobiota|c__CFGB94062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005313821366309	0.0	0.0010063949683833	0.0	0.0009209304056315	0.0	0.0	0.0
k__Bacteria|p__Acidobacteriota|c__Terriglobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024660450151607	0.0	0.0	0.0	0.002426923053709	0.0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0341977783864317	0.0	0.0
k__Bacteria|p__Acidobacteriota|c__CFGB33470	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0124873166318262	0.0	0.0
k__Bacteria|p__Acidobacteriota|c__CFGB39337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004750376329574	0.0	0.0
k__Bacteria|p__Acidobacteriota|c__Vicinamibacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002730416229416	0.0	0.0
